"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Tronc commun de la formation durant la 1ère année","Bac+2","Bac +3","1.0","56.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_1a_2017-18.pdf","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 1ere année","Bac+2","Bac+3","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_1a_2017-18.pdf","Oui","Oui","Ecoconception et énergies renouvelables","L’objectif de ce cours est d’une part de présenter les enjeux, les différentes approches et les outils pour écoconcevoir et d’autre part d’étudier les énergies et identifier celles renouvelables avec leurs exploitations ou transformations.","Optionnel","2.0","30.0","BE (bureau d'études) + projet","Le cours est optionnel et est l'un des 32 cours electifs sachant qu'un étudiant doit choisir seulement 2 cours electifs (ou 3 TBC) pour valider son année. Selon les informations disponibles en ligne, le cours ne semble pas faire de lien direct avec la thématique de la formation. C'est le seul cours de 1ere année sensibilisant aux enjeux environnementaux. ","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 1ere année","Bac+2","Bac+3","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_1a_2017-18.pdf","Oui","Improbable","Enquête d'opinion sur le trafic aérien","Enjeux sociétaux du transport aérien","Optionnel","2.0","30.0","Court rapport et présentation orale de 20 min.","Le cours est optionnel et est l'un des 32 cours electifs sachant qu'un étudiant doit choisir seulement 2 cours electifs (ou 3 TBC) pour valider son année. Il est porté sur les méthodes de sondage de l'opinion et non sur les enjeux du trafic aérien.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 1ere année","Bac+2","Bac+3","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_1a_2017-18.pdf","Non indiqué","Improbable","L'ingénieur au cœur de l'approche éthique","Non indiqué","Optionnel","2.0","33.5","Non indiqué","Le cours est optionnel et est l'un des 32 cours electifs sachant qu'un étudiant doit choisir seulement 2 cours electifs (ou 3 TBC) pour valider son année. Il n'est pas indiqué si les enjeux environnementaux sont abordés dans le sujet.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Tronc commun de la formation durant la 2eme année","Bac+3","Bac+4","1.0","52.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Non","Non","","","Non indiqué","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 2eme année","Bac+3","Bac+4","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Oui","Oui","Propulsion éolienne","Propulsion éolienne; application sur les navires marchands à propulsion hybride pour relever le défi de la raréfaction des énergies fossiles par la propulsion éolienne.","Optionnel","2.0","30.0","Evaluation continue au fil des BE (bureau d'études) et du projet.","Le cours est optionnel et est l'un des 49 cours electifs sachant qu'un étudiant doit choisir seulement 3 ou 4 (TBC) cours electifs pour valider son année. ","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 2eme année","Bac+3","Bac+4","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Oui","Non","Matériaux innovants","Matériaux présentant  une  aptitude  au  recyclage ; matériaux  plus  respectueux  de  l’environnement.","Optionnel","2.0","20.0","BE (bureau d'études)","Le cours est optionnel et est l'un des 49 cours electifs sachant qu'un étudiant doit choisir seulement 3 ou 4 (TBC) cours electifs pour valider son année. Les matériaux plus respectueux de l'environnement ne représentent qu'une petite et la dernière partie des matériaux étudiés.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 2eme année","Bac+3","Bac+4","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Oui","Non","Biomécanique","Transports en milieux réactifs biologiques","Optionnel","2.0","30.0","TP/Projet","","1.0"
