"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Géologie","Étudie l'exploitation des ressources terrestres - Le cours aborde la diminution de nos réserves/ressources pétrolières et la captation du carbone dans le sol.","Obligatoire","4.0","75.0","Présence, travaux pratiques, contrôle sur table, compte rendu en projet ","Le cours semble aborder les enjeux rencontrés par l'industrie pétrolière pour subvenir à la demande ainsi que le développement de méthodes complexes d'extraction. Le cours s'inscrit dans les disciplines de la géoscience et aborde l'impact du changement climatique.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui"," Énergie et changement
climatique ","Thèmes abordés : le climat, les ressources en énergies fossiles, pic pétrolier, société et changement climatique, les différents type d'énergie, énergie et économie. ","Optionnel","1.0","16.0","Sujet sur table","Cours assuré par Jean Marc Jancovici. C'est un cours optionnel, les élèves ont le choix entre ce cours et un autre cours qui n'aborde pas les questions écologiques ou climatiques.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Cycle de vie des systèmes énergétiques
","Analyse de cycle de vie en particulier énergétique, ouverture à la problématique des métaux. Notion de responsabilité vis-à-vis des générations futures.","Optionnel","2.0","30.0","Non indiqué","Ce cours semble pertinent pour prévenir la réduction de nos réserves énergétiques fossiles. Le cours s'intéresse au coût énergétique d'un produit sur l'ensemble du cycle de vie. L'existence d'un tel cours dans une formation aussi généraliste est très positif. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Eco-Conception ","Cycle de vie, labels, économie circulaire, transition énergétique.","Optionnel","2.0","30.0","Non indiqué","La description est assez large, il est difficile de se faire une idée précise du contenu de la formation. La question de l'éco conception est abordée dans le cadre de la transition énergétique.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Non indiqué","Non indiqué","Energies renouvelables raccordées au réseau","Réseau électrique, Energies renouvelables raccordées au réseau, stabilité du réseau.","Optionnel","2.0","30.0","Non indiqué","Ce cours se concentre sur l'aspect technique du réseau électrique. Il donne des compétences précises sur un objet (les énergies renouvelables) mais ne semble pas questionner l'utilité de cet objet, en le remplaçant dans son contexte. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Science et vin","Géologie du terroir, mondialisation, changement climatique et AOC","Optionnel","2.0","30.0","Travaux en salle à partir de documents cartographiques.","Le cours semble aborder l'adaptation du secteur viticole au changement climatique. Même si ce n'est qu'une partie du cours, au vu de l'importance du vin en France, cela peut être intéressant de contextualiser de cette manière. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Non indiqué","Risques Naturels ","Présentation des risques naturels (inondation et séismes) et comment les prévenir .","Optionnel","3.0","40.0","Non indiqué","Ce cours aborde l'adaptation aux risques naturels. Il n'est pas indiqué si le cours parle spécifiquement des risques liés au changement climatique mais cela semble probable.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Non","Oui","Dynamique des climats ","Modélisation du climat - aborde forcément le changement climatique","Optionnel","1.0","12.0","Non indiqué","Modélisation technique du climat. Cependant, une réflexion sur le lien entre changement climatique et transformation de notre société ne semble pas être au programme de ce cours.","","1.0"
