"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Non","Sustainability Performance","RSE","optionnel","non indiqué","25.0","Evaluation individuelle (60%) et projet de groupe (40%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Non","Responsabilité sociale de l'entreprise et développement durable","RSE, développement durable, droit de l'environnement, fiscalité verte","optionnel","non indiqué","25.0","Quizz et projet de groupe","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Non","L'économie collaborative","Plateformes collaboratives et impacts sur la société","optionnel","non indiqué","25.0","Quizz et étude de cas par groupe","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Non","Droit de l’urbanisme, de l’immobilier et de l'environnement","Droit de l'environnement","optionnel","non indiqué","25.0","Quizz et étude de cas","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Oui","Enjeux de la transition énergétique","Transition énergétique : maîtrise de la demande, précarité énergétique, mix énergétique, innovations, fiscalité","optionnel","non indiqué","25.0","Participation en classe (30%) et travaux de groupe (70%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Improbable","Géopolitique et grands enjeux de la mondialisation","Environnement, contrôle des ressources","optionnel","non indiqué","25.0","Synthèse écrite (75%) et participation en classe (25%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Non","Dialogue entre parties prenantes et co-développement dans les pays en émergents","RSE","optionnel","non indiqué","25.0","Synthèse écrite (50%), travail de groupe (30%) et participation en classe (20%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Improbable","Macroeconomic Theory and Development","Inégalités, pauvreté, environnement","optionnel","non indiqué","25.0","Exercices (30%), synthèses écrites (15%), travail de groupe (15%) et examen final(40%)","","Formation initiale","1.0"
