"","ETABLISSEMENT","","","","","FORMATION","","","","","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","sciences du milieu et du vivant"," biologie moléculaire,  biologie des organismes, écologie évolutive et fonctionelle","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","sciences de la production et de la transformation","  - production animale et végétale
- territoire filière environnement
- transformation","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Non","sciences de l’ingénieur et la modélisation "," - Modélisation mathématique, statistiques
- Physique 
- Chimie
- Systèmes d’Information
- système d’information géographique","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui"," sciences économiques, sociales et de gestion"," - Sciences économiques
- Connaissance de l’entreprise
- Développement agricole, aquacole, agro-alimentaire et forestier
- Comptabilité
- Sociologie, droit et sciences politique","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Non","sciences économiques, sociales et de gestion","analyse financière, choix d’investissement et évaluation de projets ; l’ingénieur dans la cité entre science et action","Obligatoire","non-indiqué ","hypothèse : 48h","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Non","sciences pour l’ingénieur","statistiques et physique","Obligatoire","non-indiqué ","hypothèse : 48h","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Productions durables, filières, territoires","Fonctionnement des écosystèmes, Ressources biologiques, Urbanisme durable, Agriculture","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","ingénierie des aliments, biomolécules et énergie","Fonctionnement des écosystèmes, Ressources biologiques, Urbanisme durable, Agriculture","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","énergie utilisés dans un autre sens ici, flux énergétiques au sein du vivant ==> pas forcément car dans ce domaine on étudie aussi les flux énergétiques en production ou encore la production d'énergie via valorisation de la biomasse (cours de chimie verte)","1.0"
