"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial ","Sciences, Technologie, Santé","Mathématiques, Informatique","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","Parcours Talents","Sciences, Technologie, Santé","Informatique des organisations","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+0","Bac+3","3.0","180.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Mathématiques-Informatique","Sciences, Technologie, Santé","Informatique des organisations","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L2 : Parcours Mathématiques-Economie","Sciences, Technologie, Santé","Informatique des organisations","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+1","Bac+2","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Improbable","Improbable","Grands enjeux contemporains","Non indiqué ","Optionnel","4.0","40.0","Non indiqué ","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours MIAGE Apprentissage","Sciences, Technologie, Santé","Informatique des organisations","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L3 : Parcours MIAGE et DECISION","Sciences, Technologie, Santé","Informatique des organisations","La licence Informatique des Organisations couvre les différents aspects du traitement de l’information. Elle a pour but de donner aux étudiants une formation solide en informatique, des outils théoriques leur permettant d’analyser les systèmes complexes, ainsi que des compétences dans le domaine de la gestion des entreprises.","Bac+2","Bac+3","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/pdf/FRUAI0750736TPRMEA3INF/","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","L1 : Parcours Initial","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+0","Bac+1","1.0","60.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Non","Non","","","","","","","","1.0"
"Autres","Université Paris-Dauphine","Parcours Talents","Sciences, Technologie, Santé","Mathématiques appliquées","La licence Mathématiques Appliquées propose une formation centrée sur les mathématiques appliquées, en particulier l’optimisation, l'analyse, les probabilités, la statistique et les méthodes numériques. Elle comprend également de nombreux enseignements d’économie, de finance, et d’informatique, ainsi que des enseignements d’ouverture, dans des proportions dépendant des choix de parcours et d’options.","Bac+0","Bac+3","3.0","180.0","http://formations.dauphine.fr/offre/fr-FR/fiche/A3MATH/programme//","Improbable","Improbable","Grands enjeux contemporains","Non indiqué ","Obligatoire","4.0","40.0","Non indiqué ","","1.0"
