"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_commerce","EDHEC","EDHEC INTERNATIONAL BBA/Parcours Business Management et global Business","Droit, Economie, Gestion","Gestion","Bachelor en 4 ans qui allie formation académique, échanges internationaux et stages en entreprise. A l'issue des 4 années d'études, les étudiants reçoivent un diplôme BAC+4 reconnu et visé par l'état. Ils peuvent choisir de se lancer dans la vie active ou bien de poursuivre leurs études, dans les meilleures institutions en France ou à l'international. ","Bac+0","Bac+4","4.0","Non indiqué","https://bba.edhec.edu/fr/programme","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","ANNEE PREMASTER EDHEC","Droit, Economie, Gestion","Gestion","Au-delà de l’acquisition des fondamentaux (sciences économiques, sciences humaines et sociales, statistiques...), l’année Pré-Master introduit les bases en culture digitale et en gestion de projet. Ces sujets sont abordés au travers de cas concrets et réels d’entreprises, d’associations ou d’organisations. A partir du second semestre, cinq options permettent de personnaliser le cursus académique.","Bac+0","Non indiqué","1.0","Non indiqué","https://ge.edhec.edu/lannee-pre-master#en_bref_","non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MASTER EDHEC - Global Economic Transformation & Technology

","Droit, Economie, Gestion","Gestion","La filière Global Economic Transformation & Technology (GETT) apportera compétences managériales répondant aux problématiques de développement durable et aux progrès de la technologie et de l’information.Expérience internationale tournée vers les transformations du monde des affaires : immersion dans l’environnement des campus de Paris, Séoul et Berkeley, pour développer la capacité « penser globalement » ainsi qu’à affiner les compétences critiques et conceptuelles qui permettent de proposer des solutions innovantes.Conduit à  des postes en conseil, développement commercial et gestion de l’innovation. ","Bac+3","Bac+5","2.0","Non indiqué","https://ge.edhec.edu/filiere-global-economic-transformation-technology","non","non","Selon les informations disponibles en ligne, cette formation ne présente aucun cours relatif aux enjeux environnementaux alors que le descriptif du master met en évidence l'enjeu Developpement  Durable ","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MASTER EDHEC - Financial Economics
","Droit, Economie, Gestion","Gestion","La filière Financial Economics est un programme de 2 ans, enseigné entièrement en anglais. Son objectif est de transmettre les connaissances théoriques et les compétences pratiques requises pour une carrière internationale dans la finance. Ce cursus à temps plein confère un double diplôme : le Master in Management et le Master of Science.La filière Financial Economics est conçu spécifiquement pour les profils quantitatifs et s’orientant vers des carrières en finance internationale. Cette filière forme aux métiers de la gestion d’actifs, du trading, de la gestion des risques, de la banque d’affaire et du financement, de la finance d’entreprise mais aussi de l’audit et du contrôle de gestion. ","Bac+3","Bac+5","2.0","Non indiqué","https://ge.edhec.edu/filiere-financial-economics","non","non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","","1.0"
"Ecole_commerce","EDHEC","MASTER EDHEC - Business Management","Droit, Economie, Gestion","Gestion","La filière Business Management est un programme de 2 années académiques, enseigné entièrement en anglais. Les enseignements offrent une formation exigeante et sont conçus pour des étudiants qui ambitionnent de suivre une carrière dans la gestion d'entreprise. Son objectif est de transmettre les connaissances théoriques et les compétences pratiques requises pour une carrière internationale en management. ","Bac+3","Bac+5","2.0","Non indiqué","https://ge.edhec.edu/filiere-business-management","Oui","Non","CORPORATE SOCIAL RESPONSABILITY","RSE","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Ce cours occupe une part marginale de la formation (1 cours sur 12) ","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MASTER EDHEC - Parcous apprentissage européen

","Droit, Economie, Gestion","Gestion","Les objectifs du parcours Apprentissage Européen :    une expérience salariée à part entière     une dimension internationale professionnalisante    un programme d’accompagnement unique et personnalisé     un même double diplôme    une plus grande autonomie financière","Bac+3","Bac+5","2.0","Non indiqué","https://ge.edhec.edu/parcours-apprentissage-europeen","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","MSc in Strategy Consulting & Digital Transformation","Droit, Economie, Gestion","Gestion","La Maîtrise en stratégie, conseil et transformation numérique attire des esprits créatifs et disciplinés capables de fonctionner dans des environnements complexes. Avec ce programme stimulant, l’étudiant développe des compétences en conseil de gestion et une réflexion stratégique pour faire face aux réalités et aux perspectives de l'entreprise. Le programme prépare à un large éventail de postes où la pensée critique, l'agilité intellectuelle et une compréhension multidisciplinaire des questions liées à la stratégie sont importantes.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-strategy-consulting-and-digital-transformation","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Formation initiale","1.0"
"Ecole_commerce","EDHEC","
MSc in Marketing Management
","Droit, Economie, Gestion","Gestion","La Maîtrise en marketing est conçue pour les jeunes, les passionnés, les diplômés et les professionnels qui souhaitent élargir leur expérience professionnelle mondiale, décrocher leur premier poste ou opérer un changement de carrière dans la gestion du marketing. Grâce à ce programme holistique, l’étudiant acquiert une connaissance approfondie de la discipline marketing et peut superviser des projets en temps réel grâce à une coopération étroite avec des entreprises internationales.","Bac+4","Bac+5","1.0","Non indiqué","https://master.edhec.edu/msc-marketing-management","Non","Non","","","","","","","Cette formation ne semble pas intégrer de cours spécifique relatif aux enjeux développement durable/énergie-climat/RSE","Les deux","1.0"
