"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Formation initiale ou continue","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé Big Data","Droit, Economie, Gestion","Gestion","Formation aux métiers « orientés données » alliant des compétences scientifiques, technologiques et managériales ","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-big-data","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Oui","Non indiqué","Economie et stratégie du secteur de l'énergie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Oui","Non indiqué","Climat et développement durable","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Improbable","Non indiqué","Marchés internationaux de l'énergie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Oui","Non indiqué","Economie et droit de l'énergie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Improbable","Non indiqué","Finance de l'énergie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Improbable","Improbable","Analyse stratégique du secteur et des acteurs","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé en Management et Marketing de l’Énergie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de la filière et des marchés de l’énergie","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-en-management-et-marketing-de-lenergie","Improbable","Non indiqué","Filières et acteurs de l'énergie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
