"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_commerce","Ecole de Management de Lyon","International MBA ","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/International-MBA","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Aucune référence aux thématiques environnementales dans la présentation du programme : http://graduate.em-lyon.com/en/International-MBA/international-mba-programme/Course-Content","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé ® Finance","Droit, Economie, Gestion","Gestion","Formation spécialisée en Finance","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/masteres-specialises-emlyon/Mastere-Specialise-Finance","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","Aucune référence aux thématiques environnementales dans la présentation des 2 programmes : http://masters.em-lyon.com/fr/mastere-specialise-finance-de-marche/progamme-ms-finance-marche/cours-ms-finance     et     http://masters.em-lyon.com/fr/mastere-specialise-ingenierie-financiere/formation-ingenierie-financiere","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Business Management & Transformation Digitale ","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de la transformation digitale et dans les métiers impactés par les nouvelles technologies","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/ms-business-management-et-transformation-digitale","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Entrepreneuriat & Management de l'Innovation ","Droit, Economie, Gestion","Gestion","Formation spécialisée en entrepreunariat.","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/mastere-specialise-Entrepreneuriat-et-Management-de-l-Innovation","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","La présentation des modules du programme ne fait aucune référence à l'environnement : http://masters.em-lyon.com/fr/mastere-specialise-Entrepreneuriat-et-Management-de-l-Innovation/programme-ms-entreprendre/cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Juriste Manager International","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management pour les juristes d'affaires. Cette formation s'adresse aux jeunes diplomés en droit.","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/Mastere-Specialise-Juriste-Manager-International","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Management des Entreprises du Vivant et de l'Agroalimentaire","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management des industries de l'agroalimentaire et des biotechnologies (pharmacie, cosmétologie, environnement)","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/ms-management-entreprises-vivant-agroalimentaire","Oui","Improbable","Agroperformance industrielle & risques","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Stratégie et Développement d'Affaires Internationales ","Droit, Economie, Gestion","Gestion","Formation spécialisée dans la démarche de développement d’affaires et d’activités à l’international. Formation en partenariat avec CentraleSupélec","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/ms-strategie-developpement-international","Oui","Improbable","Approche stratégique des secteurs technologiques : informatique et télécommunication, procédés (biotechnologie, énergie, environnement), industrie (aéronautique, automobile)","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Mastère Spécialisé Stratégie Internationale et Marketing BtoB","Droit, Economie, Gestion","Gestion","Formation spécialisée dans les métiers du commerce, de la gestion et du marketing appliqués au ""BtoB"" (clientèle d'entreprises)","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/Mastere-Specialise-Strategie-Internationale-et-Marketing-BtoB","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","1.0"
