"ETABLISSEMENT","","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Formation initiale","Autres","Formation générale sciences politiques et gestion","Conception, mise en oeuvre et évaluation des politiques publiques ; méthodes de management nécessaires à l’exercice des responsabilités propres à la haute fonction publique de l’État","Bac+3","Bac+5","2.0","Non indiqué","https://www.ena.fr/Formation-initiale/Cursus-a-l-ENA/Qu-apprend-on-a-l-ENA","Oui","Non indiqué","Politiques publiques et territoires","Développement durable
Inclusion sociale
Politique du logement","Obligatoire","Non indiqué","Non indiqué","Epreuves individuelles ou collectives, écrites ou orales","Ce cours fait suite à un stage ""territoire"" d'une durée de 5 mois.","Formation initiale","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Formation initiale","Autres","Formation générale sciences politiques et gestion","Conception, mise en oeuvre et évaluation des politiques publiques ; méthodes de management nécessaires à l’exercice des responsabilités propres à la haute fonction publique de l’État","Bac+3","Bac+5","2.0","Non indiqué","https://www.ena.fr/Formation-initiale/Cursus-a-l-ENA/Qu-apprend-on-a-l-ENA","Non","Improbable","Europe et international","Analyse de zones géographiques ""hauts lieux de rivalités géopolitiques""","Obligatoire","Non indiqué","Non indiqué","Epreuves individuelles ou collectives, écrites ou orales","Rien n'est évoqué. D'après une ancienne élève (il y a 10 ans) la thématique énergétique faisait l'objet d'une intervention de quelques heures.","Formation initiale","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Formation initiale","Autres","Formation générale sciences politiques et gestion","Conception, mise en oeuvre et évaluation des politiques publiques ; méthodes de management nécessaires à l’exercice des responsabilités propres à la haute fonction publique de l’État","Bac+3","Bac+5","2.0","Non indiqué","https://www.ena.fr/Formation-initiale/Cursus-a-l-ENA/Qu-apprend-on-a-l-ENA","Oui","Oui","Questions économiques et sociales","Transition énergétique","Obligatoire","Non indiqué","Non indiqué","Epreuves individuelles ou collectives, écrites ou orales","La transition énergétique est évoquée sur le descriptif du cours dans la rubrique ""en complément"". Elle fait partie des ""autres thématiques d'intérêt général"" qui sont ""abordées"".","Formation initiale","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Formation initiale","Autres","Formation générale sciences politiques et gestion","Conception, mise en oeuvre et évaluation des politiques publiques ; méthodes de management nécessaires à l’exercice des responsabilités propres à la haute fonction publique de l’État","Bac+3","Bac+5","2.0","Non indiqué","https://www.ena.fr/Formation-initiale/Cursus-a-l-ENA/Qu-apprend-on-a-l-ENA","Oui","Non","Valeurs, éthique et engagement associatif","Tous les élèves effectuent une mission d’intérêt général, dans un cadre associatif ou public, prioritairement auprès de personnes en situation de vulnérabilité","Obligatoire","Non indiqué","28.0","Epreuves individuelles ou collectives, écrites ou orales","Seule la responsabilité sociétale du futur cadre de la fonction publique est évoquée.","Formation initiale","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle international long","Autres","Cursus initial généraliste : politique et gestion","Enjeux européens et administration française","Bac+4","Non indiqué","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cil","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle international de perfectionnement","Autres","Sciences politiques","Gestion publique en France et en europe","Bac+5","Non indiqué","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cip","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle international de perfectionnement -Master 2 professionnel Administration publique spécialisée","Autres","Administration publique","Donner aux élèves concernés une formation complète dans les trois domaines que sont les problématiques d’administration publique au niveau européen et international, au niveau national et au niveau territorial. Eu égard au public accueilli, elle s’inscrit dans une perspective générale d’administration comparée et, en complément des approches précitées, met l’accent sur les aspects managériaux, financiers et économiques de l’action publique. ","Non indiqué","Non indiqué","Non indiqué","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cip/Masters-du-CIP/Master-2-professionnel-Administration-publique-specialisee ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle international de perfectionnement - Master 2 professionnel Administration publique et affaires internationales","Autres","Administration publique","Donner aux élèves concernés une formation complète sur les problématiques de relations internationales et de géopolitique. Eu égard au public accueilli, elle s’inscrit également dans une approche comparative en matière d’expériences et de pratiques administratives au niveau international, européen, national et territorial. En complément des approches précitées, elle met l'accent sur les aspects internationaux, managériaux, financiers et économiques de l'action publique.","Non indiqué","Non indiqué","Non indiqué","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/cip/Masters-du-CIP/Master-2-professionnel-Administration-publique-et-affaires-internationales ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle international des IRA","Autres","Sciences politiques","Conception, mise en oeuvre et évaluation des politiques publiques ; méthodes de management nécessaires à l’exercice des responsabilités propres à la haute fonction publique de l’État","Bac+4","Non indiqué","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/ciIRA ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Mastère spécialisé ""Prévention et gestion territoriales des risques"" ","Autres","Gestion des risques","Former des managers des risques capables de faire face à des situations de crise dans les secteurs public et privé, mais aussi de travailler à la prévention de différents types de risques et à l’évaluation des mesures existantes. Il s’adresse en priorité à des personnes souhaitant se spécialiser ou se réorienter professionnellement.","Bac+5","Bac+6","1.0","Non indiqué","https://www.ena.fr/Formation-continue/Masters-et-Mastere/Masteres-Spec ialises-R-accredites-par-la-Conference-des-Grandes-Ecoles/mastere-prevention-gestion-territoriales-risques","Oui","Improbable","Module ""Risques liés à la nature et à l'environnement""","Spécificités des risques naturels et environnementaux ; risques séismiques et volcaniques ; risques liés à l'eau.","Obligatoire","Non indiqué","36.0","Non indiqué","Le cours ne spécifie pas aborder les risques liés au climat.","Formation continue","1.0"
