"ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"HEC","L3 : la formation fondamentale, fin du cycle bachelor","Droit, Economie, Gestion","Management ","apprendre et assimiler les paradigmes scientifiques, les concepts et les méthodes aux sources des sciences et techniques de gestion, et se construire un parcours personnalisé (ouverture vers l’international ou vers un parcours universitaire en France).  ","Bac+2","Bac+3","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21398","Oui","Non","Entreprises et développement durable","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","L3 - Master in Management Grande Ecole","Droit, Economie, Gestion","Management ","apprendre et assimiler les paradigmes scientifiques, les concepts et les méthodes aux sources des sciences et techniques de gestion, et se construire un parcours personnalisé (ouverture vers l’international ou vers un parcours universitaire en France).  ","Bac+2","Bac+3","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21399","Improbable","Non","Exercer un management responsable","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","L3 - Master in Management Grande Ecole","Droit, Economie, Gestion","Management ","apprendre et assimiler les paradigmes scientifiques, les concepts et les méthodes aux sources des sciences et techniques de gestion, et se construire un parcours personnalisé (ouverture vers l’international ou vers un parcours universitaire en France).  ","Bac+2","Bac+3","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21400","Improbable","Improbable","Initiation aux enjeux énergétiques pour les décideurs","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","L3 - Master in Management Grande Ecole","Droit, Economie, Gestion","Management ","apprendre et assimiler les paradigmes scientifiques, les concepts et les méthodes aux sources des sciences et techniques de gestion, et se construire un parcours personnalisé (ouverture vers l’international ou vers un parcours universitaire en France).  ","Bac+2","Bac+3","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21401","Oui","Non","Panorama des enjeux environnementaux","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","L3 - Master in Management Grande Ecole","Droit, Economie, Gestion","Management ","apprendre et assimiler les paradigmes scientifiques, les concepts et les méthodes aux sources des sciences et techniques de gestion, et se construire un parcours personnalisé (ouverture vers l’international ou vers un parcours universitaire en France).  ","Bac+2","Bac+3","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21402","Oui","Oui","Technologies, climate change and future of energy","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","","","","","","","","","","","","","","","","","","",""
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus#block-21398","Oui","Non","Académie Entrepreneurs du Changement ","business models innovants réconciliant performance économique et impact positif pour la société","","","","","Entre le premier et le second semestre, les étudiants suivent des académies.","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M1-Courses-in-General-Management/M1-Core-Courses/Ethics-and-Sustainability","Oui","Non","Ethics and Sustainability","corporate responsibility.complex environments of multinational corporations and emerging governance structures","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Oui","Non","Exercer un management responsable","Comment pouvons-nous exercer notre responsabilité et gérer la complexité dans ce monde multipolaire ? situer notre champ de responsabilité au niveau personnel et sur le plan collectif ?","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Oui","Oui","Introduction to 21st Century Energy Challenges","nuclear energygreen paradox and the challenges of Renewable energyOil & Gas: myths and realities of shale gassmart grids","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Improbable","Improbable","Energy Geoeconomics","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Oui","Non","Responsabilité sociale de l’entreprise","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
