"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_ingénieurs","Université Technologique de Compiègne","Tronc commun cycle ingénieur","Sciences, Technologie, Santé","Pluridisciplinaire","Le tronc commun est le premier cycle de l'UTC, ayant pour objectif d'apporter les connaissances de base nécessaire à la poursuite des études d'ingénieur sur l'une des 5 branches proposées par l'UTC","Bac+0","Bac+2","2.0","120.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","BL01 Sciences biologiques pour l'ingénieur"," impacts des activités agro-industrielles sur l'environnement et la santé ; traitement des
polluants","Optionnel","6.0","62.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Tronc commun cycle ingénieur","Sciences, Technologie, Santé","Pluridisciplinaire","Le tronc commun est le premier cycle de l'UTC, ayant pour objectif d'apporter les connaissances de base nécessaire à la poursuite des études d'ingénieur sur l'une des 5 branches proposées par l'UTC","Bac+0","Bac+2","2.0","120.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","UR05 Aménagement et environnement","acteurs de l'environnement, réglementation, développement durable, étude
d'impacts, eau, déchets, aide à la décision multicritère, diagnostic territorial","optionnel","6.0","86.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Tronc commun cycle ingénieur","Sciences, Technologie, Santé","Pluridisciplinaire","Le tronc commun est le premier cycle de l'UTC, ayant pour objectif d'apporter les connaissances de base nécessaire à la poursuite des études d'ingénieur sur l'une des 5 branches proposées par l'UTC","Bac+0","Bac+2","2.0","120.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","TS01 Maîtrise des risques","Fournir les principes de base de la maîtrise des risques dans différents
domaines (risque industriel, accident du travail, risque environnemental, risque produit,
gestion de crise et risk-management).","optionnel","6.0","86.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Branche ingénieur - génie biologique ","Sciences, Technologie, Santé","Génie Biologique ","La branche combine science de l'ingénieur et sciences du vivant pour des applications industrielles et sociétales dans les domaines de la santé et du vivant.","Bac+2","Bac+5","3.0","180.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","BT22 Les agroressources
","Le dernier volet de l'UV porte sur la gestion des agroressources
et leur impact sur l'environnement.","optionnel","6.0","78.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Branche ingénieur - génie biologique ","Sciences, Technologie, Santé","Génie Biologique ","La branche combine science de l'ingénieur et sciences du vivant pour des applications industrielles et sociétales dans les domaines de la santé et du vivant.","Bac+2","Bac+5","3.0","180.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","DD01 Séminaire développement durable","Développer une culture de l'ingénieur en développement durable. On
s'attachera à y associer systématiquement les approches technologiques et scientifiques des
« génies » aux approches « Sciences Humaines, Sociales et Economiques » pour mieux
intégrer les dimensions environnementales, sociétales et économiques des enjeux soulevés","optionnel","4.0","36.0","NOn indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Branche ingénieur - génie biologique ","Sciences, Technologie, Santé","Génie Biologique ","La branche combine science de l'ingénieur et sciences du vivant pour des applications industrielles et sociétales dans les domaines de la santé et du vivant.","Bac+2","Bac+5","3.0","180.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","GE12 Géographie et économie des territoires","éveloppement local, système d'acteurs concret, avantage territorial construit,
open innovation, Responsabilité sociale et environnementale des entreprises, proximité, firme
en réseau","optionnel","4.0","52.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Branche ingénieur - génie biologique ","Sciences, Technologie, Santé","Génie Biologique ","La branche combine science de l'ingénieur et sciences du vivant pour des applications industrielles et sociétales dans les domaines de la santé et du vivant.","Bac+2","Bac+5","3.0","180.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","PH09 Éthiques : approche pluridisciplinaire","éthique, morale, responsabilité, valeurs, risque, humain","optionnel","4.0","52.0","Non indiqué ","","","1.0"
"Ecole_ingénieurs","Université Technologique de Compiègne","Branche ingénieur - génie biologique ","Sciences, Technologie, Santé","Génie Biologique ","La branche combine science de l'ingénieur et sciences du vivant pour des applications industrielles et sociétales dans les domaines de la santé et du vivant.","Bac+2","Bac+5","3.0","180.0","https://www.utc.fr/fileadmin/user_upload/SITE-UTC/documents/Documentations/2018/Guides_UV_2018-19_web.pdf","Oui","Non indiqué","TS01 Maîtrise des risques","Fournir les principes de base de la maîtrise des risques dans différents
domaines (risque industriel, accident du travail, risque environnemental, risque produit,
gestion de crise et risk-management).","optionnel","6.0","86.0","NOn indiqué ","","","1.0"
