"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Université","Université de Strasbourg","Capacité en droit","Droit, Economie, Gestion","Droit","non indiqué","Tous niveaux","Tous niveaux ","2.0","non indiqué","https://www.unistra.fr/index.php?id=27881&tx_unistrarof_pi1%5Brof-program%5D=FH58&cHash=9a9151cce1bb15c9e3c19c6496f83067#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DAEU","Sciences Humaines et sociales","Lettres et Sciences humaines","A l’issue de la formation, le stagiaire aura développé des connaissances et des compétences de niveau baccalauréat. La formation a pour objectif de permettre aux stagiaires d’acquérir les connaissances et les modes de raisonnement indispensables pour toute formation supérieure.","Tous niveaux","Tous niveaux ","1.0","non indiqué","https://www.unistra.fr/index.php?id=27880&tx_unistrarof_pi1%5Brof-program%5D=FH59&cHash=fd031717cc03d4a54f92f915830df2a6#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DAEU","Sciences, Technologie, Santé","Sciences","A l’issue de la formation, le stagiaire aura développé des connaissances et des compétences de niveau baccalauréat. La formation a pour objectif de permettre aux stagiaires d’acquérir les connaissances et les modes de raisonnement indispensables pour toute formation supérieure.","Tous niveaux","Tous niveaux ","1.0","non indiqué","https://www.unistra.fr/index.php?id=27880&tx_unistrarof_pi1%5Brof-program%5D=FH59&cHash=fd031717cc03d4a54f92f915830df2a6#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","Première année santé (PACES)","Sciences, Technologie, Santé","Santé","formations scientifiques permettant d’acquérir les connaissances indispensables à l’exercice de ces différents métiers de la santé. Le « compagnonnage » très largement pratiqué dans les métiers de la santé est étendu au tutorat proposé aux étudiants de première année. Ces derniers sont ainsi accompagnés par des étudiants volontaires des années supérieures qui partagent leurs connaissances et leurs expériences.","Tous niveaux","Tous niveaux ","1.0","60.0","https://www.unistra.fr/index.php?id=27882&tx_unistrarof_pi1%5Brof-program%5D=FH24&cHash=551672f235b48fd6bae5d3544f44db87#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","""Sport Adapté"" : activités physiques adaptées : déficiences intellectuelles, troubles psychiques","Le DEUST « Sport Adapté » est un diplôme permettant à son titulaire d’exercer les fonctions d’éducateur sportif auprès de personnes ayant une déficience intellectuelle, en souffrance psychique en lien avec une pathologie mentale, une désaffiliation sociale ou une rupture du lien familial dans un contexte professionnel relevant du champ médico-social, de la santé mentale, de l’aide sociale à l’enfance ou de la réinsertion sociale.","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH12&cHash=b5596ad555b91610bf2aec40745b6717#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","Activités physiques et sportives et inadaptation sociale","Le DEUST ACTIVITES SPORTIVES ET INADAPTATION SOCIALE est une formation universitaire et professionnelle (Bac + 2) de la Faculté des Sciences du Sport de Strasbourg. Ce diplôme permet d'obtenir le titre d'éducateur socio-sportif auprès de publics enfants et adolescents en difficultés sociales ou auprès d’adultes en difficultés d’insertion ou ayant des addictions diverses.","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH9&cHash=bf13859855895c65200f41498b507b9a#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","Médiations citoyennes","non indiqué","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH8&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13293&cHash=4d98aa3ad6c3eb2f017540f0f51a1861","Improbable","Improbable","Le contexte socio-économique, politique et juridique des médiations","Comprendre la façon dont les différents types de médiation s'articulent aux formes de régulation institutionnelles existantes des domaines de la culture, de l'éducation, de l'environnement et du social","Obligatoire","non indiqué","80.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","Médiations citoyennes","non indiqué","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH8&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13345&cHash=3e3b50cb2675f47cd6535bd4253b1451","Improbable","Improbable","Approche sociologique des sociétés contemporaines","Connaître les principales problématiques actuelles du développement social","Obligatoire","non indiqué","25.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","Métiers de la forme","La formation DEUST « Métiers de la Forme » permet aux étudiants de développer des compétences professionnelles par le biais de l’alternance cours/stage afin d’exercer les fonctions de Technicien Supérieur des Activité de la Forme et/ou d’Assistant au Directeur d’Exploitation dans les entreprises du secteur privé marchand des activités de la forme.","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH10&cHash=2f2c687ca9dafb014fea5d6e1e624d47#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DEUST","Sciences Humaines et sociales","Pratique et gestion des activités physiques et sportives et de loisirs pour les publics seniors","non indiqué","Tous niveaux","Tous niveaux ","2.0","120.0","https://www.unistra.fr/index.php?id=27883&tx_unistrarof_pi1%5Brof-program%5D=FH11&cHash=f44654dd640f7425b6811a963c78cc84#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DUT (communication des organisations)","Sciences Humaines et sociales","Information-Communication","Former des professionnels polyvalents dans le domaine de la publicité et de la communication interne et externe. Le diplômé détermine et met en oeuvre de façon stratégique la politique de communication de tous types d'organisations par la réalisation de supports de communication (écrits, audiovisuels, numériques) ou l'organisation d'évènements.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&cHash=3ee646727598308b594565c7b0e8cc6b#data-rof-tab-presentation","Improbable","Improbable","Histoire contemporaine","non indiqué","Obligatoire","non indiqué","20h","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT (communication des organisations)","Sciences Humaines et sociales","Information-Communication","Former des professionnels polyvalents dans le domaine de la publicité et de la communication interne et externe. Le diplômé détermine et met en oeuvre de façon stratégique la politique de communication de tous types d'organisations par la réalisation de supports de communication (écrits, audiovisuels, numériques) ou l'organisation d'évènements.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&cHash=3ee646727598308b594565c7b0e8cc6b#data-rof-tab-presentation","Improbable","Improbable","Problèmes et enjeux sociaux","non indiqué","Obligatoire","non indiqué","20h","non indiqué","",""
"Université","Université de Strasbourg","DUT (communication des organisations)","Sciences Humaines et sociales","Information-Communication","Former des professionnels polyvalents dans le domaine de la publicité et de la communication interne et externe. Le diplômé détermine et met en oeuvre de façon stratégique la politique de communication de tous types d'organisations par la réalisation de supports de communication (écrits, audiovisuels, numériques) ou l'organisation d'évènements.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&cHash=3ee646727598308b594565c7b0e8cc6b#data-rof-tab-presentation","Improbable","Improbable","Économie générale","non indiqué","Obligatoire","non indiqué","20h","non indiqué","",""
"Université","Université de Strasbourg","DUT (information numérique dans les organisations)","Sciences Humaines et sociales","Information-Communication","Le diplômé du DUT INO maîtrise de façon experte la démarche et les outils de collecte, de traitement et de diffusion de l'information numérique. Il sait s'adapter et développer les outils et dispositifs de communication et piloter une stratégie d'information. Le DUT INO est également proposé par apprentissage en deuxième année.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&cHash=3ee646727598308b594565c7b0e8cc6b#data-rof-tab-presentation","Improbable","Improbable","Économie générale","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT (publicité)","Sciences Humaines et sociales","Information-Communication","Former des professionnels polyvalents dans le domaine de la publicité et de la communication interne et externe. Le diplômé détermine et met en oeuvre de façon stratégique la politique de communication de tous types d'organisations par la réalisation de supports de communication (écrits, audiovisuels, numériques) ou l'organisation d'évènements.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&cHash=3ee646727598308b594565c7b0e8cc6b#data-rof-tab-presentation","Improbable","Improbable","Économie générale","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT (publicité)","Sciences Humaines et sociales","Information-Communication","Former des professionnels polyvalents dans le domaine de la publicité et de la communication interne et externe. Le diplômé détermine et met en oeuvre de façon stratégique la politique de communication de tous types d'organisations par la réalisation de supports de communication (écrits, audiovisuels, numériques) ou l'organisation d'évènements.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH49&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN9037&cHash=b51f4c01f128f5f01115bdce736b8e4b","Improbable","Improbable","Problèmes et enjeux sociaux","non indiqué","Obligatoire","non indiqué","20.0","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT","Sciences, Technologie, Santé","Chimie","Former des techniciens chimistes polyvalents qui seront les collaborateurs directs des ingénieurs ou des chercheurs dont les activités s'articulent autour du contrôle qualité, de la synthèse, de la recherche, du développement et de la production.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH46&cHash=e24bc2ca1fec84d64c6f5b8846a4fee8#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","DUT (Gestion et management des organisations)","Droit, Economie, Gestion","Gestion des entreprises et des administrations ","L'option Gestion et Management des Organisations permet d'acquérir les connaissances nécessaires afin d'assurer la gestion quotidienne d'une organisation privée ou publique dans la variété de ses domaines, logistique et commercial, juridique et fiscal, comptable et financier.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH56&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN6944&cHash=bfe736eedde6a2eb5a202af38af63394","Improbable","Improbable","Economie","non indiqué","non indiqué","non indiqué","non indiqué","non indiqué","","1.0"
"Université","Université de Strasbourg","DUT (Gestion comptable et financière)","Droit, Economie, Gestion","Gestion des entreprises et des administrations ","L'option Gestion Comptable et Financière permet de s'orienter vers les métiers de la finance ou d'aborder d'autres branches de la gestion avec un bon bagage technique.","Bac+0","Bac+2","2.0","120.0","https://www.unistra.fr/index.php?id=27884&tx_unistrarof_pi1%5Brof-program%5D=FH56&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN6944&cHash=bfe736eedde6a2eb5a202af38af63395","Improbable","Improbable","Economie","non indiqué","non indiqué","non indiqué","non indiqué","non indiqué","","1.0"
