ETABLISSEMENT_Type;ETABLISSEMENT_Nom;FORMATION_Nom;FORMATION_Domaine;FORMATION_Specialite;FORMATION_Descriptif;FORMATION_Niveau_de_diplme_lentree;FORMATION_Niveau_de_diplme_en_sortie;FORMATION_Duree_en_annees;FORMATION_Total_ECTS;UNITE_DE_VALEUR_COURS_Questions_ENV_au_sens_large_evoquees_oui_non;UNITE_DE_VALEUR_COURS_Enjeux_transition_energetiqueclimat_abordes_oui_non;UNITE_DE_VALEUR_COURS_Nom_du_cours;UNITE_DE_VALEUR_COURS_Cours_optionnel_ou_obligatoire;UNITE_DE_VALEUR_COURS_Duree_du_cours_en_nombre_dheures;UNITE_DE_VALEUR_COURS_Formation_initiale_ou_continue
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Formation_des_eleves_administrateurrices_territoriauxales;Droit_Economie_Gestion;Administration_publique;_Acquisition_et_perfectionnement_des_fondamentaux_de_gestion_et_de_management_Developpement_des_competences_liees_lelaboration_la_conduite_et_levaluation_des_politiques_publiques;Bac+3;Bac+5;1.5;;non;non;;;;Formation_initiale
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Formation_des_eleves_conservateurs_territoriaux_de_bibliotheques;Arts_Lettres_Langues;Administration_publique;Acquisition_et_perfectionnement_des_fondamentaux_de_management_et_de_gestionDeveloppement_des_competences_liees_lelaboration_la_conduite_et_levaluation_des_politiques_publiques_de_la_culture_et_de_la_lecture_publiqueRenforcement_de_lexpertise_scientifique_et_technique;Bac+3;Bac+5;1.5;;non;non;;;;Formation_Initiale
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Formation_des_eleves_conservateurrices_territoriauxales_du_patrimoine;Droit_Economie_Gestion;Administration_publique;Formation_aux_metiers_de_conservateurs_avec_double_expertise_scientifique_et_technique_et_managerialeconduite_des_politiques_publiques_gestion_du_patrimoine_diffusion_culturelle_etc;Bac+3;Bac+5;1.5;;non;non;;;;Formation_Initiale
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Formation_des_eleves_ingenieures_en_chef_territorialesaux;Sciences_Technologie_Sante;Administration_publique;Les_enjeux_de_la_formation_consistent_doter_les_eleves_dune_expertise_technique_tout_en_les_preparant_aux_fonctions_de_direction_et_de_direction_generale_des_collectivites_locales;Bac+3;Bac+4;1.0;;oui;non;;;;Formation_Initiale
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Le_cycle_superieur_de_management_CSM_Master_2_Management_public_territorial;Droit_Economie_Gestion;Gestion;Ce_cycle_est_bati_sur_le_rle_et_les_activites_du_ou_de_lacadre_de_direction_afin_que_leastagiaire_puisse_se_constituer_le_capital_de_competences_dun_ou_dune_top_manager;Tous_niveaux;Tous_niveaux;12 à 18 mois;;non;non;;;;Formation_Continue
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Le_cycle_de_direction_generale_+40_000_hab;Sciences_Humaines_et_sociales;Gestion;Un_cycle_dexcellence_qui_reinterroge_les_pratiques_de_la_gouvernance_sur_les_territoires;Tous_niveaux;Tous_niveaux;12 à 18 mois;;non;non;;;;Formation_Continue
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Le_cycle_DRH_des_grandes_collectivites;Sciences_Humaines_et_sociales;Ressources_humaines;Lea_DRH_dans_la_dynamique_des_transformations_des_grandes_collectivites_ou_comment_conforter_sa_posture_de_pilote_de_la_fonction_RH_dans_la_complexite;Tous_niveaux;Tous_niveaux;12 à 18 mois;;non;non;;;;Formation_Continue
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Le_cycle_strategies_publiques_et_management;Droit_Economie_Gestion;Gestion;Ce_cycle_sadresse_aux_directeurrices_generauxales_et_cadres_experimentees_se_destinant_des_fonctions_de_direction_generale_Il_vise_deux_grands_objectifs_la_professionnalisation_des_cadres_des_equipes_de_direction_sur_le_management_strategique_et_la_capitalisation_des_pratiques_par_lechange_dexperiences_et_la_consolidation_des_fonctions_strategiques;Tous_niveaux;Tous_niveaux;12 à 18 mois;;non;non;;;;Formation_Continue
Ecole_formant_des_eleves_fonctionnaires_non_ingenieurs;Institut_National_des_Etudes_Territoriales_INET;Le_cycle_interinstitutions_de_management_superieur_des_services_publics;Droit_Economie_Gestion;Gestion;Creuset_des_cadres_dirigeantes_des_services_publics_territoriaux_de_ltat_de_la_securite_sociale_ce_cycle_alimente_stimule_fait_evoluer_leurs_reflexions_sur_le_management_public_et_etoffe_leurs_propres_pratiques_Connaissant_mieux_leurs_fonctionnements_contraintes_et_enjeux_respectifs_ils_sont_alors_mieux_meme_de_coordonner_leurs_actions_au_cur_des_territoires;Tous_niveaux;Tous_niveaux;12 à 18 mois;;non;non;;;;Formation_Continue
Ecole_formant_des_eleves_fonctionnaires_ingenieurs;Ponts_ParisTech;Cursus_ingenieur;Sciences_Technologie_Sante;Construction_ville_economie_industrie_mathematiques;Cursus_ingenieur_en_3_ans_avec_6_majeures_choisir_des_la_2eme_annee_genie_civil_construction_ville_environnement_transport_genie_mecanique_materiaux_genie_industriel_sciences_economiques_gestion_finance_ingenierie_mathematique_et_informatique;Bac+2;Bac+5;3.0;;oui;oui;Energetique_des_batiments_et_confort_2_ou_3A;;;
